subject_id,session_id,domain,position,word,language_type,rt_ms,x,y
53105,32zXoOEyomBdbyGIOg7U,animals,4,बिल्ली,Hindi/Hinglish,5570.1,0.5176500247125604,0.17185617235585626
53105,32zXoOEyomBdbyGIOg7U,animals,5,घोडा,Hindi/Hinglish,9340.7,0.7335660335704579,0.44798458172105055
53105,32zXoOEyomBdbyGIOg7U,animals,6,शेर,Hindi/Hinglish,5432.3,0.06044480567438847,0.45570845331168536
53105,32zXoOEyomBdbyGIOg7U,animals,7,बाघ,Hindi/Hinglish,5395.1,0.07461038164191926,0.509775554446129
53105,32zXoOEyomBdbyGIOg7U,animals,8,हाथी,Hindi/Hinglish,5478.7,0.7588308134558112,0.5368091050133509
53105,32zXoOEyomBdbyGIOg7U,animals,9,भालू,Hindi/Hinglish,8154.9,0.31361592674703764,0.6043929814314054
53307,3zIUF3kkspNbB0QxKfOy,animals,1,kutta,Hindi/Hinglish,6722.4,0.14277062300957713,0.048274197441467534
53307,3zIUF3kkspNbB0QxKfOy,animals,2,billi,Hindi/Hinglish,1599.9,0.23725693788109103,0.05406710113444364
53307,3zIUF3kkspNbB0QxKfOy,animals,3,sher,Hindi/Hinglish,2033.1,0.14446124532874344,0.10427226647356988
53307,3zIUF3kkspNbB0QxKfOy,animals,4,tiger,English,3775.1,0.14382022069337783,0.1544774318126961
53307,3zIUF3kkspNbB0QxKfOy,animals,5,lomdi,Hindi/Hinglish,4343.5,0.2707467126885305,0.05599806903210234
53307,3zIUF3kkspNbB0QxKfOy,animals,6,hathi,Hindi/Hinglish,4152.8,0.38850607027261774,0.05213613323678494
53307,3zIUF3kkspNbB0QxKfOy,animals,7,gadha,Hindi/Hinglish,5807.9,0.528760586872046,0.05406710113444364
53307,3zIUF3kkspNbB0QxKfOy,animals,8,gayan,Hindi/Hinglish,13160.1,0.7061756301188151,0.05599806903210234
53307,3zIUF3kkspNbB0QxKfOy,animals,9,bail,English,15062.7,0.7398942223136014,0.05599806903210234
53307,3zIUF3kkspNbB0QxKfOy,foods,1,roti,Hindi/Hinglish,16785.0,0.17301111238494718,0.05406710113444364
53307,3zIUF3kkspNbB0QxKfOy,foods,2,sabzi,Hindi/Hinglish,1768.3,0.7481149786136708,0.038619357953174026
53307,3zIUF3kkspNbB0QxKfOy,foods,3,maggi,Hindi/Hinglish,7367.7,0.5350865551632354,0.05213613323678494
53307,3zIUF3kkspNbB0QxKfOy,foods,4,kaddu,Hindi/Hinglish,19128.2,0.7901295220717824,0.04055032585083273
53307,3zIUF3kkspNbB0QxKfOy,foods,5,bhindi,Hindi/Hinglish,2632.2,0.83558061336365,0.04634322954380883
53307,3zIUF3kkspNbB0QxKfOy,foods,6,dahi,Hindi/Hinglish,3239.7,0.9501030662132008,0.048274197441467534
53307,3zIUF3kkspNbB0QxKfOy,foods,7,chaval,Hindi/Hinglish,4752.5,0.20427106007297952,0.05792903692976104
53307,3zIUF3kkspNbB0QxKfOy,foods,8,dal,English,2207.5,0.7154066599286865,0.04055032585083273
53307,3zIUF3kkspNbB0QxKfOy,body-parts,1,naak,Hindi/Hinglish,4712.2,0.4033705946227414,0.038619357953174026
53307,3zIUF3kkspNbB0QxKfOy,body-parts,2,kaan,Hindi/Hinglish,2015.7,0.4805179761079651,0.04055032585083273
53307,3zIUF3kkspNbB0QxKfOy,body-parts,3,aankh,Hindi/Hinglish,3312.6,0.3231202829512931,0.032826454260197924
53307,3zIUF3kkspNbB0QxKfOy,body-parts,4,hath,Hindi/Hinglish,1663.4,0.8865512547925903,0.02896451846488052
53307,3zIUF3kkspNbB0QxKfOy,body-parts,5,pair,Hindi/Hinglish,4912.4,0.8873918577529095,0.18151098237991795
53307,3zIUF3kkspNbB0QxKfOy,body-parts,6,pet,English,2216.3,0.3945724895299318,0.34178134734982196
53307,3zIUF3kkspNbB0QxKfOy,body-parts,7,baal,Hindi/Hinglish,3807.8,0.5436436602867497,0.03475742215785663
53307,3zIUF3kkspNbB0QxKfOy,body-parts,8,peeth,Hindi/Hinglish,6543.5,0.45693896308179177,0.34371228578324886
53307,3zIUF3kkspNbB0QxKfOy,body-parts,9,ungli,Hindi/Hinglish,6800.0,0.8914610930088341,0.10041033067825247
53307,3zIUF3kkspNbB0QxKfOy,body-parts,10,jeebh,Hindi/Hinglish,9079.4,0.635639484103891,0.04055032585083273
53307,3zIUF3kkspNbB0QxKfOy,body-parts,11,taang,Hindi/Hinglish,12192.9,0.9278711430035409,0.18344195027757665
92821,7fxWA2O6NjFEe7m2ElN6,foods,1,aata,Hindi/Hinglish,6094.9,0.30547250874861476,0.3351150938905075
92821,7fxWA2O6NjFEe7m2ElN6,foods,2,chawal,Hindi/Hinglish,1348.8,0.30255582284298693,0.27900054417378545
92821,7fxWA2O6NjFEe7m2ElN6,foods,3,daal,Hindi/Hinglish,884.7,0.2993949744030626,0.22015287612979634
92821,7fxWA2O6NjFEe7m2ElN6,foods,4,soyabean,English,1843.2,0.2991486224602262,0.15903150684837974
92821,7fxWA2O6NjFEe7m2ElN6,foods,5,urad,Hindi/Hinglish,999.2,0.2976128498184433,0.10678695560315848
92821,7fxWA2O6NjFEe7m2ElN6,foods,6,moong,Hindi/Hinglish,1511.1,0.29798763645813015,0.04486745246746523
92821,7fxWA2O6NjFEe7m2ElN6,foods,7,rajma,Hindi/Hinglish,1722.1,0.30336986433730234,0.3950996125532103
92821,7fxWA2O6NjFEe7m2ElN6,foods,8,chana,Hindi/Hinglish,1804.7,0.30110896239196316,0.4512383731962606
92821,7fxWA2O6NjFEe7m2ElN6,foods,9,arhar,Hindi/Hinglish,3058.5,0.3040064092709432,0.5034829539670018
92821,7fxWA2O6NjFEe7m2ElN6,foods,10,masoor,Hindi/Hinglish,1868.2,0.30146395529305725,0.5595975036837239
92821,7fxWA2O6NjFEe7m2ElN6,foods,11,lauki,Hindi/Hinglish,1893.3,0.44530524443988456,0.04873742141344606
92821,7fxWA2O6NjFEe7m2ElN6,foods,12,tinda,Hindi/Hinglish,1498.7,0.44343662219043123,0.09711203323820641
92821,7fxWA2O6NjFEe7m2ElN6,foods,13,kaddu,Hindi/Hinglish,2867.1,0.4431155298761838,0.14161664659146603
92821,7fxWA2O6NjFEe7m2ElN6,foods,14,sitaphal,Hindi/Hinglish,5115.8,0.4469404188686458,0.1919262428892168
92821,7fxWA2O6NjFEe7m2ElN6,foods,15,petha,Hindi/Hinglish,1722.2,0.4472570660326401,0.24223583918696756
